category,keyword,severity,description,example
NEW_NFT,rarible_token,CRITICAL,"Rarible","rarible_api_key"
NEW_NFT,magiceden_key,CRITICAL,"Magic Eden","magiceden_api_key"
NEW_NFT,coinbase_api_key,CRITICAL,"Coinbase","coinbase_api_secret"
NEW_NFT,binance_api_secret,CRITICAL,"Binance","binance_api_secret"
NEW_NFT,kraken_key,CRITICAL,"Kraken","kraken_api_secret"
NEW_WEBRTC,webrtc_config,CRITICAL,"WebRTC Config","webrtc_config"
NEW_WEBRTC,stun_server,CRITICAL,"STUN Server","stun:stun.example.com"
NEW_WEBRTC,turn_server,CRITICAL,"TURN Server","turn:user:pass@example.com"
NEW_WEBRTC,ice_server,CRITICAL,"ICE Server","ice_servers"
NEW_WEBRTC,web_socket_token,CRITICAL,"WebSocket","ws_token"
NEW_WEBRTC,socket.io_secret,CRITICAL,"Socket.IO","socket.io_secret"
NEW_WEBRTC,signalr_key,CRITICAL,"SignalR","signalr_key"
NEW_WEBRTC,pusher_app_key,CRITICAL,"Pusher","pusher_app_secret"
NEW_WEBRTC,ably_key,CRITICAL,"Ably","ably_api_key"
NEW_WEBRTC,pubnub_secret,CRITICAL,"PubNub","pubnub_secret_key"
NEW_STREAMING,twitch_stream_key,CRITICAL,"Twitch","live_12345_abcdef"
NEW_STREAMING,youtube_api_key,CRITICAL,"YouTube","youtube_api_key"
NEW_STREAMING,vimeo_token,CRITICAL,"Vimeo","vimeo_access_token"
NEW_STREAMING,mux_token,CRITICAL,"Mux","mux_token_id"
NEW_STREAMING,cloudinary_key,CRITICAL,"Cloudinary","cloudinary_api_secret"
NEW_STREAMING,imgix_token,CRITICAL,"Imgix","imgix_token"
NEW_STREAMING,ffmpeg_config,CRITICAL,"FFmpeg","ffmpeg_config"
NEW_STREAMING,gstreamer_pipeline,CRITICAL,"GStreamer","gstreamer_pipeline"
NEW_STREAMING,obs_key,CRITICAL,"OBS","obs_websocket_password"
NEW_CDN,akamai_token,CRITICAL,"Akamai","akamai_edge_token"
NEW_CDN,fastly_token,CRITICAL,"Fastly","fastly_api_token"
NEW_CDN,bunnycdn_key,CRITICAL,"BunnyCDN","bunnycdn_api_key"
NEW_CDN,keycdn_token,CRITICAL,"KeyCDN","keycdn_api_key"
NEW_CDN,stackpath_secret,CRITICAL,"StackPath","stackpath_client_secret"
NEW_CDN,cdn77_token,CRITICAL,"CDN77","cdn77_api_token"
NEW_DNS,cloudflare_api_token,CRITICAL,"Cloudflare API","cloudflare_api_token"
NEW_DNS,cloudflare_zone_key,CRITICAL,"Cloudflare Zone","cloudflare_zone_key"
NEW_DNS,godaddy_key,CRITICAL,"GoDaddy","godaddy_api_key"
NEW_DNS,namecheap_token,CRITICAL,"Namecheap","namecheap_api_token"
NEW_DNS,route53_key,CRITICAL,"Route 53","aws_route53_key"
NEW_DNS,verisign_token,CRITICAL,"Verisign","verisign_token"
NEW_DNS,gandi_key,CRITICAL,"Gandi","gandi_api_key"
NEW_PAYMENT,stripe_webhook_secret,CRITICAL,"Stripe Webhook","whsec_ExampleKey123"
NEW_PAYMENT,stripe_api_key,CRITICAL,"Stripe API","sk_live_ExampleKey123"
NEW_PAYMENT,stripe_secret_key,CRITICAL,"Stripe Secret","stripe_secret_key"
NEW_PAYMENT,paypal_client_secret,CRITICAL,"PayPal","paypal_client_secret"
NEW_PAYMENT,square_access_token,CRITICAL,"Square","square_access_token"
NEW_PAYMENT,braintree_private_key,CRITICAL,"Braintree","braintree_private_key"
NEW_PAYMENT,plaid_secret,CRITICAL,"Plaid","plaid_secret"
NEW_PAYMENT,adyen_api_key,CRITICAL,"Adyen","adyen_api_key"
NEW_PAYMENT,worldpay_key,CRITICAL,"Worldpay","worldpay_service_key"
NEW_PAYMENT,authorize.net_key,CRITICAL,"Authorize.net","authorizenet_api_key"
NEW_PAYMENT,klarna_token,CRITICAL,"Klarna","klarna_api_token"
NEW_ECOMMERCE,shopify_access_token,CRITICAL,"Shopify Access","shpat_ExampleToken123"
NEW_ECOMMERCE,shopify_shared_secret,CRITICAL,"Shopify Shared","shopify_shared_secret"
NEW_ECOMMERCE,woocommerce_key,CRITICAL,"WooCommerce","woocommerce_consumer_secret"
NEW_ECOMMERCE,magento_token,CRITICAL,"Magento","magento_integration_token"
NEW_ECOMMERCE,bigcommerce_token,CRITICAL,"BigCommerce","bigcommerce_access_token"
NEW_ECOMMERCE,prestashop_key,CRITICAL,"PrestaShop","prestashop_webservice_key"
NEW_ECOMMERCE,opencart_password,CRITICAL,"OpenCart","opencart_api_password"
NEW_CRM,salesforce_client_secret,CRITICAL,"Salesforce Client","salesforce_client_secret"
NEW_CRM,hubspot_private_key,CRITICAL,"HubSpot","hubspot_private_app_token"
NEW_CRM,zendesk_token,CRITICAL,"Zendesk","zendesk_api_token"
NEW_CRM,freshdesk_key,CRITICAL,"Freshdesk","freshdesk_api_key"
NEW_CRM,freshsales_token,CRITICAL,"Freshsales","freshsales_api_token"
NEW_CRM,dynamics365_secret,CRITICAL,"Dynamics 365","dynamics365_client_secret"
NEW_CRM,sap_cloud_token,CRITICAL,"SAP Cloud","sap_cloud_platform_token"
NEW_CRM,oracle_crm_key,CRITICAL,"Oracle CRM","oracle_crm_web_service_key"
NEW_COMMUNICATION,twilio_auth_token,CRITICAL,"Twilio Auth","twilio_auth_token"
NEW_COMMUNICATION,twilio_account_sid,CRITICAL,"Twilio SID","twilio_account_sid"
NEW_COMMUNICATION,sendgrid_api_key,CRITICAL,"SendGrid","sendgrid_api_key"
NEW_COMMUNICATION,mailgun_api_key,CRITICAL,"Mailgun","mailgun_api_key"
NEW_COMMUNICATION,postmark_token,CRITICAL,"Postmark","postmark_server_token"
NEW_COMMUNICATION,messagebird_key,CRITICAL,"MessageBird","messagebird_access_key"
NEW_COMMUNICATION,vonage_api_secret,CRITICAL,"Vonage","vonage_api_secret"
NEW_COMMUNICATION,bandwidth_token,CRITICAL,"Bandwidth","bandwidth_api_token"
NEW_COMMUNICATION,infobip_key,CRITICAL,"Infobip","infobip_api_key"
NEW_COMMUNICATION,nexmo_key,CRITICAL,"Nexmo","nexmo_api_secret"
NEW_COMMUNICATION,telesign_token,CRITICAL,"TeleSign","telesign_api_key"
NEW_COLLABORATION,slack_signing_secret,CRITICAL,"Slack Signing","slack_signing_secret"
NEW_COLLABORATION,slack_bot_token,CRITICAL,"Slack Bot","xoxb-ExampleToken123"
NEW_COLLABORATION,slack_user_token,CRITICAL,"Slack User","xoxp-ExampleToken123"
NEW_COLLABORATION,microsoft_teams_token,CRITICAL,"Microsoft Teams","teams_bot_token"
NEW_COLLABORATION,zoom_jwt_token,CRITICAL,"Zoom JWT","zoom_jwt_token"
NEW_COLLABORATION,zoom_sdk_key,CRITICAL,"Zoom SDK","zoom_sdk_secret"
NEW_COLLABORATION,webex_access_token,CRITICAL,"Webex","webex_access_token"
NEW_COLLABORATION,jitsi_jwt,CRITICAL,"Jitsi","jitsi_jwt_token"
NEW_COLLABORATION,google_meet_key,CRITICAL,"Google Meet","google_meet_api_key"
NEW_COLLABORATION,gotomeeting_token,CRITICAL,"GoToMeeting","gotomeeting_access_token"
NEW_COLLABORATION,teamviewer_key,CRITICAL,"TeamViewer","teamviewer_api_token"
NEW_SOCIAL_MEDIA,facebook_app_secret,CRITICAL,"Facebook App","facebook_app_secret"
NEW_SOCIAL_MEDIA,facebook_access_token,CRITICAL,"Facebook Access","facebook_access_token"
NEW_SOCIAL_MEDIA,twitter_bearer_token,CRITICAL,"Twitter Bearer","AAAAAAAAAAAAAAAAAAAAAExampleToken123"
NEW_SOCIAL_MEDIA,twitter_api_secret,CRITICAL,"Twitter API","twitter_api_secret_key"
NEW_SOCIAL_MEDIA,instagram_basic_access,CRITICAL,"Instagram Basic","instagram_basic_access_token"
NEW_SOCIAL_MEDIA,instagram_graph_token,CRITICAL,"Instagram Graph","instagram_graph_api_token"
NEW_SOCIAL_MEDIA,tiktok_access_token,CRITICAL,"TikTok","tiktok_access_token"
NEW_SOCIAL_MEDIA,linkedin_client_secret,CRITICAL,"LinkedIn","linkedin_client_secret"
NEW_SOCIAL_MEDIA,pinterest_token,CRITICAL,"Pinterest","pinterest_access_token"
NEW_SOCIAL_MEDIA,snapchat_token,CRITICAL,"Snapchat","snapchat_oauth_token"
NEW_NOSQL,mongodb_atlas_key,CRITICAL,"MongoDB Atlas","mongodb+srv://user:pass@cluster"
NEW_NOSQL,mongodb_realm_key,CRITICAL,"MongoDB Realm","realm_app_id"
NEW_NOSQL,cosmosdb_key,CRITICAL,"Cosmos DB","cosmosdb_primary_master_key"
NEW_NOSQL,dynamodb_access_key,CRITICAL,"DynamoDB","aws_dynamodb_key"
NEW_NOSQL,firestore_key,CRITICAL,"Firestore","firestore_service_account"
NEW_NOSQL,couchdb_admin,CRITICAL,"CouchDB","couchdb_admin_password"
NEW_NOSQL,redis_cloud_password,CRITICAL,"Redis Cloud","redis_cloud_password"
NEW_NOSQL,redis_labs_key,CRITICAL,"Redis Labs","redis_labs_api_key"
NEW_NOSQL,elasticache_password,CRITICAL,"ElastiCache","elasticache_auth_token"
NEW_GRAPH_DB,neo4j_bolt_password,CRITICAL,"Neo4j Bolt","neo4j_bolt_password"
NEW_GRAPH_DB,dgraph_token,CRITICAL,"Dgraph","dgraph_api_key"
NEW_GRAPH_DB,tigergraph_secret,CRITICAL,"TigerGraph","tigergraph_secret"
NEW_GRAPH_DB,aws_neptune_key,CRITICAL,"AWS Neptune","neptune_cluster_master_password"
NEW_GRAPH_DB,azure_cosmos_gremlin,CRITICAL,"Azure Cosmos Gremlin","cosmos_gremlin_key"
NEW_TIME_SERIES,influxdb_token,CRITICAL,"InfluxDB","influxdb_token"
NEW_TIME_SERIES,timescaledb_password,CRITICAL,"TimescaleDB","timescaledb_admin_password"
NEW_TIME_SERIES,prometheus_bearer_token,CRITICAL,"Prometheus","prometheus_bearer_token"
NEW_TIME_SERIES,graphite_api_key,CRITICAL,"Graphite","graphite_api_key"
NEW_TIME_SERIES,questdb_password,CRITICAL,"QuestDB","questdb_admin_password"
NEW_TIME_SERIES,cratedb_token,CRITICAL,"CrateDB","cratedb_user_token"
NEW_SEARCH,elasticsearch_cloud_key,CRITICAL,"Elasticsearch Cloud","elastic_cloud_api_key"
NEW_SEARCH,opensearch_key,CRITICAL,"OpenSearch","opensearch_admin_password"
NEW_SEARCH,algolia_api_key,CRITICAL,"Algolia","algolia_api_key"
NEW_SEARCH,meilisearch_master_key,CRITICAL,"Meilisearch","meilisearch_master_key"
NEW_SEARCH,typesense_api_key,CRITICAL,"Typesense","typesense_api_key"
NEW_SEARCH,solr_admin_password,CRITICAL,"Solr","solr_admin_password"
NEW_SEARCH,azure_cognitive_search_key,CRITICAL,"Azure Cognitive Search","search_admin_key"
NEW_SEARCH,aws_cloudsearch_key,CRITICAL,"AWS CloudSearch","cloudsearch_api_key"
NEW_MESSAGE_QUEUE,rabbitmq_password,CRITICAL,"RabbitMQ","rabbitmq_default_pass"
NEW_MESSAGE_QUEUE,kafka_sasl_password,CRITICAL,"Kafka SASL","kafka_sasl_password"
NEW_MESSAGE_QUEUE,activemq_admin,CRITICAL,"ActiveMQ","activemq_admin_password"
NEW_MESSAGE_QUEUE,nats_jetstream_token,CRITICAL,"NATS JetStream","nats_resolver_token"
NEW_MESSAGE_QUEUE,pulsar_token,CRITICAL,"Pulsar","pulsar_token"
NEW_MESSAGE_QUEUE,aws_sqs_key,CRITICAL,"AWS SQS","sqs_access_key"
NEW_MESSAGE_QUEUE,azure_service_bus_key,CRITICAL,"Azure Service Bus","service_bus_connection_string"
NEW_MESSAGE_QUEUE,google_pubsub_key,CRITICAL,"Google PubSub","pubsub_service_account"
NEW_API_MANAGEMENT,apigee_access_token,CRITICAL,"Apigee","apigee_access_token"
NEW_API_MANAGEMENT,kong_admin_key,CRITICAL,"Kong Admin","kong_admin_key"
NEW_API_MANAGEMENT,tyk_dashboard_secret,CRITICAL,"Tyk Dashboard","tyk_dashboard_secret"
NEW_API_MANAGEMENT,wso2_token,CRITICAL,"WSO2","wso2_oauth_token"
NEW_API_MANAGEMENT,azure_api_management_key,CRITICAL,"Azure API Management","api_management_subscription_key"
NEW_API_MANAGEMENT,aws_api_gateway_key,CRITICAL,"AWS API Gateway","api_gateway_api_key"
NEW_API_MANAGEMENT,postman_api_key,CRITICAL,"Postman","postman_api_key"
NEW_API_MANAGEMENT,insomnia_token,CRITICAL,"Insomnia","insomnia_api_token"
NEW_SECURITY_TOOLS,vault_root_token,CRITICAL,"Vault Root","vault_root_token"
NEW_SECURITY_TOOLS,cyberark_password,CRITICAL,"CyberArk","cyberark_password"
NEW_SECURITY_TOOLS,hashicorp_vault_token,CRITICAL,"Hashicorp Vault","vault_token"
NEW_SECURITY_TOOLS,keycloak_admin,CRITICAL,"Keycloak","keycloak_admin_password"
NEW_SECURITY_TOOLS,okta_api_token,CRITICAL,"Okta","okta_api_token"
NEW_SECURITY_TOOLS,auth0_m2m_token,CRITICAL,"Auth0 M2M","auth0_machine_to_machine_token"
NEW_SECURITY_TOOLS,pingidentity_key,CRITICAL,"PingIdentity","pingidentity_api_key"
NEW_SECURITY_TOOLS,forgerock_token,CRITICAL,"ForgeRock","forgerock_oauth_token"
NEW_SECURITY_TOOLS,onelogin_secret,CRITICAL,"OneLogin","onelogin_client_secret"
NEW_SCANNING,nessus_key,CRITICAL,"Nessus","nessus_api_key"
NEW_SCANNING,qualys_token,CRITICAL,"Qualys","qualys_api_token"
NEW_SCANNING,tenable_key,CRITICAL,"Tenable","tenable_api_key"
NEW_SCANNING,rapid7_token,CRITICAL,"Rapid7","rapid7_api_token"
NEW_SCANNING,burp_suite_license,CRITICAL,"Burp Suite","burp_suite_license_key"
NEW_SCANNING,metasploit_pro_key,CRITICAL,"Metasploit Pro","metasploit_pro_license"
NEW_SCANNING,acunetix_token,CRITICAL,"Acunetix","acunetix_api_token"
NEW_SCANNING,netsparker_key,CRITICAL,"Netsparker","netsparker_api_key"
NEW_SCANNING,nexpose_token,CRITICAL,"Nexpose","nexpose_api_token"
NEW_SCANNING,openvas_password,CRITICAL,"OpenVAS","openvas_admin_password"
NEW_THREAT_INTEL,virustotal_api_key,CRITICAL,"VirusTotal","virustotal_api_key"
NEW_THREAT_INTEL,abuseipdb_key,CRITICAL,"AbuseIPDB","abuseipdb_api_key"
NEW_THREAT_INTEL,shodan_api_key,CRITICAL,"Shodan","shodan_api_key"
NEW_THREAT_INTEL,censys_api_id,CRITICAL,"Censys","censys_api_id"
NEW_THREAT_INTEL,greynoise_key,CRITICAL,"GreyNoise","greynoise_api_key"
NEW_THREAT_INTEL,alienvault_key,CRITICAL,"AlienVault","alienvault_api_key"
NEW_THREAT_INTEL,threatcrowd_key,CRITICAL,"ThreatCrowd","threatcrowd_api_key"
NEW_THREAT_INTEL,threatminer_token,CRITICAL,"ThreatMiner","threatminer_api_token"
NEW_THREAT_INTEL,otx_token,CRITICAL,"OTX","otx_api_key"
NEW_CODE_SECURITY,snyk_token,CRITICAL,"Snyk","snyk_token"
NEW_CODE_SECURITY,veracode_api_key,CRITICAL,"Veracode","veracode_api_key"
NEW_CODE_SECURITY,checkmarx_token,CRITICAL,"Checkmarx","checkmarx_api_token"
NEW_CODE_SECURITY,sonarqube_token,CRITICAL,"SonarQube","sonarqube_token"
NEW_CODE_SECURITY,codacy_api_key,CRITICAL,"Codacy","codacy_api_token"
NEW_CODE_SECURITY,coveralls_token,CRITICAL,"Coveralls","coveralls_repo_token"
NEW_CODE_SECURITY,codeclimate_token,CRITICAL,"Code Climate","codeclimate_api_token"
NEW_CODE_SECURITY,semgrep_token,CRITICAL,"Semgrep","semgrep_app_token"
NEW_CODE_SECURITY,trivy_token,CRITICAL,"Trivy","trivy_token"
NEW_CONTAINER_SECURITY,anchore_engine_key,CRITICAL,"Anchore Engine","anchore_engine_password"
NEW_CONTAINER_SECURITY,clair_config,CRITICAL,"Clair","clair_config"
NEW_CONTAINER_SECURITY,trivy_token,CRITICAL,"Trivy","trivy_token"
NEW_CONTAINER_SECURITY,sysdig_secure_key,CRITICAL,"Sysdig Secure","sysdig_secure_api_token"
NEW_CONTAINER_SECURITY,prisma_cloud_token,CRITICAL,"Prisma Cloud","prisma_cloud_access_key"
NEW_CONTAINER_SECURITY,aqua_security_key,CRITICAL,"Aqua Security","aqua_api_key"
NEW_CONTAINER_SECURITY,twistlock_token,CRITICAL,"Twistlock","twistlock_access_token"
NEW_CONTAINER_SECURITY,neuvector_key,CRITICAL,"NeuVector","neuvector_api_key"
NEW_RUNTIME_SECURITY,falco_rules,CRITICAL,"Falco","falco_rules_file"
NEW_RUNTIME_SECURITY,sysmon_config,CRITICAL,"Sysmon","sysmon_config"
NEW_RUNTIME_SECURITY,osquery_config,CRITICAL,"Osquery","osquery_config"
NEW_RUNTIME_SECURITY,wazuh_password,CRITICAL,"Wazuh","wazuh_authd_pass"
NEW_RUNTIME_SECURITY,security_onion_key,CRITICAL,"Security Onion","so-admin-password"
NEW_RUNTIME_SECURITY,velociraptor_token,CRITICAL,"Velociraptor","velociraptor_jwt_signing_key"
NEW_ZERO_TRUST,beyondcorp_token,CRITICAL,"BeyondCorp","beyondcorp_token"
NEW_ZERO_TRUST,zscaler_key,CRITICAL,"Zscaler","zscaler_api_key"
NEW_ZERO_TRUST,cloudflare_zero_trust,CRITICAL,"Cloudflare Zero Trust","cloudflare_zero_trust_token"
NEW_ZERO_TRUST,tailscale_auth,CRITICAL,"Tailscale","tailscale_auth_key"
NEW_ZERO_TRUST,openziti_token,CRITICAL,"OpenZiti","ziti_controller_jwt"
NEW_ZERO_TRUST,netmaker_key,CRITICAL,"Netmaker","netmaker_master_key"
NEW_PASSWORD_MANAGER,bitwarden_api_key,CRITICAL,"Bitwarden","bitwarden_api_key"
NEW_PASSWORD_MANAGER,lastpass_token,CRITICAL,"LastPass","lastpass_api_token"
NEW_PASSWORD_MANAGER,1password_secret,CRITICAL,"1Password","op_connect_token"
NEW_PASSWORD_MANAGER,dashlane_key,CRITICAL,"Dashlane","dashlane_api_key"
NEW_PASSWORD_MANAGER,keepass_master,CRITICAL,"KeePass","keepass_master_password"
NEW_PASSWORD_MANAGER,passbolt_token,CRITICAL,"Passbolt","passbolt_api_token"
NEW_PASSWORD_MANAGER,keeper_security_key,CRITICAL,"Keeper","keeper_api_token"
NEW_PASSWORD_MANAGER,roboform_token,CRITICAL,"RoboForm","roboform_api_key"
NEW_BACKUP,veeam_password,CRITICAL,"Veeam","veeam_backup_password"
NEW_BACKUP,commvault_token,CRITICAL,"Commvault","commvault_access_token"
NEW_BACKUP,rubrik_key,CRITICAL,"Rubrik","rubrik_api_token"
NEW_BACKUP,cohesity_secret,CRITICAL,"Cohesity","cohesity_cluster_admin_password"
NEW_BACKUP,zerto_token,CRITICAL,"Zerto","zerto_api_token"
NEW_BACKUP,aws_backup_key,CRITICAL,"AWS Backup","aws_backup_vault_key"
NEW_BACKUP,azure_backup_key,CRITICAL,"Azure Backup","azure_backup_vault_key"
NEW_BACKUP,google_cloud_storage_key,CRITICAL,"Google Cloud Storage","gcs_service_account_key"
NEW_VIRTUALIZATION,vmware_vcenter_password,CRITICAL,"VMware vCenter","vcenter_admin_password"
NEW_VIRTUALIZATION,proxmox_token,CRITICAL,"Proxmox","proxmox_api_token"
NEW_VIRTUALIZATION,hyperv_password,CRITICAL,"Hyper-V","hyperv_admin_password"
NEW_VIRTUALIZATION,kvm_secret,CRITICAL,"KVM","kvm_host_password"
NEW_VIRTUALIZATION,virtualbox_web,CRITICAL,"VirtualBox Web","virtualbox_web_api_password"
NEW_VIRTUALIZATION,xen_server_password,CRITICAL,"XenServer","xenserver_root_password"
NEW_VIRTUALIZATION,nutanix_key,CRITICAL,"Nutanix","nutanix_prism_password"
NEW_VIRTUALIZATION,citrix_password,CRITICAL,"Citrix","citrix_admin_password"
NEW_HYBRID_CLOUD,aws_outposts_key,CRITICAL,"AWS Outposts","outposts_access_key"
NEW_HYBRID_CLOUD,azure_stack_key,CRITICAL,"Azure Stack","azure_stack_admin_password"
NEW_HYBRID_CLOUD,google_anthos_key,CRITICAL,"Google Anthos","anthos_service_account"
NEW_HYBRID_CLOUD,vmware_cloud_key,CRITICAL,"VMware Cloud","vmware_cloud_api_token"
NEW_HYBRID_CLOUD,oracle_cloud_at_customer,CRITICAL,"Oracle Cloud@Customer","ocac_admin_password"
NEW_QUANTUM,ibm_quantum_token,CRITICAL,"IBM Quantum","ibm_quantum_token"
NEW_QUANTUM,azure_quantum_key,CRITICAL,"Azure Quantum","azure_quantum_api_key"
NEW_QUANTUM,rigetti_key,CRITICAL,"Rigetti","rigetti_api_key"
NEW_QUANTUM,dwave_token,CRITICAL,"D-Wave","dwave_api_token"
NEW_QUANTUM,google_quantum_key,CRITICAL,"Google Quantum","google_quantum_api_key"
NEW_QUANTUM,ionq_token,CRITICAL,"IonQ","ionq_api_key"
NEW_AR_VR,unity_cloud_key,CRITICAL,"Unity Cloud","unity_cloud_api_key"
NEW_AR_VR,unreal_engine_key,CRITICAL,"Unreal Engine","unreal_engine_api_key"
NEW_AR_VR,oculus_token,CRITICAL,"Oculus","oculus_developer_token"
NEW_AR_VR,hololens_key,CRITICAL,"HoloLens","hololens_developer_key"
NEW_AR_VR,varjo_token,CRITICAL,"Varjo","varjo_api_token"
NEW_AR_VR,htc_vive_key,CRITICAL,"HTC Vive","viveport_api_key"
NEW_AR_VR,pico_token,CRITICAL,"Pico","pico_developer_token"
NEW_AR_VR,meta_quest_token,CRITICAL,"Meta Quest","meta_quest_developer_token"
NEW_5G,5g_core_key,CRITICAL,"5G Core","5g_core_network_key"
NEW_5G,openran_secret,CRITICAL,"OpenRAN","openran_api_secret"
NEW_5G,telecom_api_key,CRITICAL,"Telecom API","telecom_operator_api_key"
NEW_5G,signal_protocol_key,CRITICAL,"Signal Protocol","signal_protocol_key"
NEW_5G,voip_password,CRITICAL,"VoIP","voip_admin_password"
NEW_5G,sip_password,CRITICAL,"SIP","sip_registration_password"
NEW_SATELLITE,starlink_token,CRITICAL,"Starlink","starlink_api_token"
NEW_SATELLITE,aws_ground_station_key,CRITICAL,"AWS Ground Station","ground_station_api_key"
NEW_SATELLITE,azure_orbital_key,CRITICAL,"Azure Orbital","orbital_api_key"
NEW_SATELLITE,google_earth_engine_key,CRITICAL,"Google Earth Engine","earth_engine_service_account"
NEW_SATELLITE,planet_labs_key,CRITICAL,"Planet Labs","planet_api_key"
NEW_SATELLITE,spire_token,CRITICAL,"Spire","spire_api_token"
NEW_BIOMETRIC,face_api_key,CRITICAL,"Face API","azure_face_api_key"
NEW_BIOMETRIC,fingerprint_secret,CRITICAL,"Fingerprint","fingerprint_sensor_key"
NEW_BIOMETRIC,voice_print_key,CRITICAL,"Voice Print","voice_biometric_key"
NEW_BIOMETRIC,iris_scan_data,CRITICAL,"Iris Scan","iris_scan_template"
NEW_BIOMETRIC,palm_print_key,CRITICAL,"Palm Print","palm_vein_key"
NEW_BIOMETRIC,gait_analysis_key,CRITICAL,"Gait Analysis","gait_recognition_key"
NEW_HEALTHCARE,hl7_api_key,CRITICAL,"HL7 API","hl7_integration_key"
NEW_HEALTHCARE,fhir_token,CRITICAL,"FHIR","fhir_api_token"
NEW_HEALTHCARE,dicom_key,CRITICAL,"DICOM","dicom_server_password"
NEW_HEALTHCARE,epic_interconnect,CRITICAL,"Epic Interconnect","epic_oauth_token"
NEW_HEALTHCARE,cerner_token,CRITICAL,"Cerner","cerner_api_token"
NEW_HEALTHCARE,meditech_key,CRITICAL,"MEDITECH","meditech_interface_key"
NEW_HEALTHCARE,allscripts_token,CRITICAL,"Allscripts","allscripts_oauth_token"
NEW_AUTOMOTIVE,tesla_token,CRITICAL,"Tesla","tesla_api_token"
NEW_AUTOMOTIVE,car_api_key,CRITICAL,"Car API","car_manufacturer_api_key"
NEW_AUTOMOTIVE,can_bus_secret,CRITICAL,"CAN Bus","can_bus_encryption_key"
NEW_AUTOMOTIVE,autosar_key,CRITICAL,"AUTOSAR","autosar_crypto_key"
NEW_AUTOMOTIVE,vehicle_diagnostic,CRITICAL,"Vehicle Diagnostic","diagnostic_tool_password"
NEW_AUTOMOTIVE,obd2_password,CRITICAL,"OBD2","obd2_interface_password"
NEW_AUTOMOTIVE,adas_key,CRITICAL,"ADAS","adas_calibration_key"
NEW_SMART_HOME,home_assistant_token,CRITICAL,"Home Assistant","home_assistant_token"
NEW_SMART_HOME,smartthings_key,CRITICAL,"SmartThings","smartthings_personal_token"
NEW_SMART_HOME,apple_homekit_key,CRITICAL,"Apple HomeKit","homekit_setup_code"
NEW_SMART_HOME,google_nest_key,CRITICAL,"Google Nest","nest_developer_token"
NEW_SMART_HOME,amazon_alexa_skill,CRITICAL,"Amazon Alexa","alexa_skill_client_secret"
NEW_SMART_HOME,ifttt_webhook,CRITICAL,"IFTTT Webhook","ifttt_webhook_key"
NEW_INDUSTRIAL_IOT,siemens_s7_password,CRITICAL,"Siemens S7","s7_plc_password"
NEW_INDUSTRIAL_IOT,rockwell_plc_key,CRITICAL,"Rockwell PLC","rockwell_controller_key"
NEW_INDUSTRIAL_IOT,modbus_tcp_key,CRITICAL,"Modbus TCP","modbus_tcp_password"
NEW_INDUSTRIAL_IOT,profibus_key,CRITICAL,"PROFIBUS","profibus_master_key"
NEW_INDUSTRIAL_IOT,opc_ua_cert,CRITICAL,"OPC UA Certificate","opc_ua_application_cert"
NEW_INDUSTRIAL_IOT,scada_password,CRITICAL,"SCADA System","scada_operator_password"
NEW_ENERGY,smart_meter_key,CRITICAL,"Smart Meter","smart_meter_encryption_key"
NEW_ENERGY,grid_token,CRITICAL,"Grid Token","grid_operator_api_token"
NEW_ENERGY,power_plant_api_key,CRITICAL,"Power Plant API","power_plant_scada_key"
NEW_ENERGY,solar_inverter_key,CRITICAL,"Solar Inverter","inverter_admin_password"
NEW_ENERGY,wind_turbine_key,CRITICAL,"Wind Turbine","turbine_controller_key"
NEW_ENERGY,battery_management,CRITICAL,"Battery Management","bms_admin_password"
NEW_FINTECH,swift_key,CRITICAL,"SWIFT","swift_bic_code"
NEW_FINTECH,sepa_token,CRITICAL,"SEPA","sepa_direct_debit_token"
NEW_FINTECH,blockchain_wallet,CRITICAL,"Blockchain Wallet","wallet_private_key"
NEW_FINTECH,defi_protocol,CRITICAL,"DeFi Protocol","defi_smart_contract_key"
NEW_FINTECH,crypto_exchange_key,CRITICAL,"Crypto Exchange","exchange_api_secret"
NEW_FINTECH,digital_wallet,CRITICAL,"Digital Wallet","wallet_recovery_phrase"
NEW_FINTECH,open_banking_key,CRITICAL,"Open Banking","open_banking_api_key"
NEW_GOVERNMENT,pkcs11_key,CRITICAL,"PKCS#11","pkcs11_slot_password"
NEW_GOVERNMENT,cac_pin,CRITICAL,"CAC PIN","common_access_card_pin"
NEW_GOVERNMENT,piv_card_key,CRITICAL,"PIV Card","piv_authentication_key"
NEW_GOVERNMENT,common_access_card,CRITICAL,"Common Access Card","cac_certificate"
NEW_GOVERNMENT,nato_token,CRITICAL,"NATO","nato_classified_token"
NEW_GOVERNMENT,eu_token,CRITICAL,"European Union","eu_digital_signature"
NEW_GOVERNMENT,un_token,CRITICAL,"United Nations","un_security_token"
NEW_SPACE,satellite_command_key,CRITICAL,"Satellite Command","satellite_control_key"
NEW_SPACE,ground_station_key,CRITICAL,"Ground Station","ground_station_access_code"
NEW_SPACE,missile_guidance,CRITICAL,"Missile Guidance","guidance_system_key"
NEW_SPACE,radar_system_key,CRITICAL,"Radar System","radar_encryption_key"
NEW_SPACE,drone_key,CRITICAL,"Drone","drone_controller_key"
NEW_SPACE,uav_token,CRITICAL,"UAV Token","uav_authentication_token"
